,mean_abs_shap
Neighborhood,2177.3187614432336
qual*total_house_area,219.47158823333882
BsmtGrade,136.05456245745913
LotArea,23.348691850500938
total_house_area,16.870933721712273
GrLivArea,9.735907243989523
2ndFlrSF,4.818589208852064
BsmtUnfSF,4.718050368374628
BsmtUnitsGrade,3.9504338629408906
TotalBsmtSF,3.431292181588056
Garage_final,3.3935342684701753
1stFlrSF,2.42945843246078
rooms_to_size,2.0962993061600903
GarageArea,1.4632717797076493
semi_built_area,1.3851155749048487
BsmtFinSF1,0.9694667493454229
MasVnrArea,0.5518323568414255
YearBuilt,0.48533789461690435
Id,0.4424848001035406
Unnamed: 0,0.43006228785925904
YearRemodAdd,0.2936217661630211
OpenPorchSF,0.09655012667867295
GarageYrBlt,0.05417005080693154
OverallQual,0.04256066026818038
OverallCond,0.037017071619163525
WoodDeckSF,0.030697514951678457
BsmtFinType1,0.025556461803260513
FireplaceQu,0.024228667399160606
GarageCars,0.01639738534143045
BedroomAbvGr,0.012069406216315848
HeatingQC,0.008595857524442542
BsmtExposure,0.007825445515468156
LotFrontage,0.007796360201558728
GarageFinish,0.007617390958280129
YrSold,0.006987750362762049
bathrooms_final,0.006785764593164347
land_score,0.006634646827833919
TotRmsAbvGrd,0.006146059246374979
HalfBath,0.00584575774607066
GarageType_Modified_Attchd,0.00571267552668359
MSZoning_RL,0.00553283110999481
elec_inf,0.005106036977819687
Fireplaces,0.005071478437365346
MoSold,0.005009524040017664
KitchenQual,0.004492181381364082
BsmtQual,0.004456862831551775
Foundation_PConc,0.004248219380347374
HouseStyle_2Story,0.003833360545562674
GarageType_Modified_Detchd,0.00315657017308791
Foundation_CBlock,0.0030153274570811754
BldgType_1Fam,0.002862211757619143
LotShape,0.0027388846506070574
Age_Category,0.0027122336182224976
Exterior1st_Wd Sdng,0.002609741275141514
CentralAir,0.002563850548049423
Exterior2nd_Wd Sdng,0.0025039133664993517
Foundation_BrkTil,0.0021849786778788106
MSZoning_FV,0.0018398111014891107
MasVnrType_None,0.0017114064868206124
PavedDrive,0.0016114357301953498
FullBath,0.0015808626438907885
MSZoning_RM,0.0010763535246521789
Exterior1st_BrkFace,0.000959847253344747
